bare_word	source_type_id	source_id	permanent_id
анализ	2	2678	419973
переговоры	2	2679	642523
выступление	2	2680	770202
неприятность	2	2682	705001
торговля	2	2684	567206
москвич	2	2685	355634
транспорт	2	2686	503370
справедливость	2	2687	353250
остановка	2	2688	851855
невеста	2	2690	629335
рукопись	2	2691	707813
блок	2	2695	407017
экспедиция	2	2696	221642
уверенность	2	2698	220220
дура	2	2702	313718
красавица	2	2704	537593
крышка	2	2708	819296
удача	2	2710	606363
сарай	2	2711	273163
контора	2	2712	344871
скамейка	2	2714	884099
одиночество	2	2717	846036
дьявол	2	2718	293095
рассвет	2	2719	723976
академик	2	2720	323295
обмен	2	2723	831511
каша	2	2724	468240
спичка	2	2726	902825
спора	2	2727	187443
корея	2	2728	392149
перевод	2	2729	151567
кафе	2	2730	869140
режиссёр	2	2734	538951
